CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/18/2016,19:45,BROOKLYN,11210,40.62875,-73.95111,"(40.62875, -73.95111)",EAST 26 STREET                  ,AVENUE I,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3450218,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/18/2016,19:25,,,40.601734,-73.935036,"(40.601734, -73.935036)",GERRITSEN AVENUE                ,AVENUE U,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3449679,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,22:42,MANHATTAN,10027,40.80824,-73.95259,"(40.80824, -73.95259)",8 AVENUE                        ,WEST 122 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3459098,Station Wagon/Sport Utility Vehicle,Bike,,,
05/18/2016,18:20,,,40.756786,-73.72125,"(40.756786, -73.72125)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3444524,Station Wagon/Sport Utility Vehicle,4 dr sedan,Station Wagon/Sport Utility Vehicle,,
05/18/2016,12:00,QUEENS,11432,40.712162,-73.79452,"(40.712162, -73.79452)",,,168-33    HIGHLAND AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3447108,Sedan,Sedan,,,
05/18/2016,14:05,,,40.675632,-73.89878,"(40.675632, -73.89878)",GEORGIA AVENUE                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3450523,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,23:00,BRONX,10451,40.818558,-73.92732,"(40.818558, -73.92732)",EAST 149 STREET                 ,GRAND CONCOURSE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3448830,4 dr sedan,4 dr sedan,,,
05/18/2016,15:45,,,40.632202,-74.088936,"(40.632202, -74.088936)",,,318       Woodstock Ave                 ,3,0,0,0,0,0,3,0,Driver Inexperience,Unspecified,,,,3457419,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:30,MANHATTAN,10012,40.72639,-73.9918,"(40.72639, -73.9918)",BOWERY                          ,GREAT JONES STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3447697,Pick-up Truck,4 dr sedan,,,
05/18/2016,17:15,,,40.59549,-74.14229,"(40.59549, -74.14229)",FOREST HILL ROAD                ,NORWICH STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3444605,4 dr sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/18/2016,9:44,BROOKLYN,11232,40.64741,-74.018684,"(40.64741, -74.018684)",53 STREET                       ,2 AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3450363,Bus,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,16:36,,,,,,UNION STREET                    ,GRAND ARMY PLAZA,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3450745,4 dr sedan,Tractor Truck Diesel,,,
05/18/2016,1:07,,,40.725933,-73.90073,"(40.725933, -73.90073)",Long Island Expy                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444823,Tractor Truck Diesel,4 dr sedan,,,
05/18/2016,12:30,,,40.643425,-74.01207,"(40.643425, -74.01207)",,,5 AVENUE                                ,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3445371,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,8:00,BROOKLYN,11221,40.689728,-73.91949,"(40.689728, -73.91949)",,,42        WOODBINE STREET               ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3445394,4 dr sedan,,,,
05/18/2016,19:50,MANHATTAN,10023,40.781025,-73.981316,"(40.781025, -73.981316)",BROADWAY                        ,WEST 75 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3444326,FORKL,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,14:45,BROOKLYN,11219,40.642376,-73.99524,"(40.642376, -73.99524)",43 STREET                       ,10 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3449918,Station Wagon/Sport Utility Vehicle,,,,
05/18/2016,17:45,BROOKLYN,11213,40.678547,-73.92982,"(40.678547, -73.92982)",UTICA AVENUE                    ,HERKIMER STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3450853,Sedan,Pick-up Truck,,,
05/18/2016,6:45,,,40.72895,-73.97182,"(40.72895, -73.97182)",Franklin D Roosevelt Dr         ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3443771,4 dr sedan,Taxi,,,
05/18/2016,23:45,MANHATTAN,10010,40.7429,-73.99281,"(40.7429, -73.99281)",AVENUE OF THE AMERICAS          ,WEST 23 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3447891,Station Wagon/Sport Utility Vehicle,Taxi,,,
05/18/2016,15:10,,,40.61443,-74.039566,"(40.61443, -74.039566)",Belt Pkwy                       ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3446755,4 dr sedan,2 dr sedan,4 dr sedan,,
05/18/2016,9:00,,,40.665974,-73.74061,"(40.665974, -73.74061)",LAURELTON PARKWAY               ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3444520,Station Wagon/Sport Utility Vehicle,4 dr sedan,4 dr sedan,,
05/18/2016,11:30,,,40.61443,-74.039566,"(40.61443, -74.039566)",Belt Pkwy                       ,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3445021,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,18:30,QUEENS,11694,40.573994,-73.85278,"(40.573994, -73.85278)",ROCKAWAY BEACH BOULEVARD        ,BEACH 135 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3451197,4 dr sedan,4 dr sedan,,,
05/18/2016,13:30,QUEENS,11422,40.659092,-73.74029,"(40.659092, -73.74029)",243 STREET                      ,MAYDA ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3451511,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
05/18/2016,11:00,,,40.73883,-73.983154,"(40.73883, -73.983154)",,,3 AVENUE                                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3444301,Chassis Cab,Dump,,,
05/18/2016,12:25,BROOKLYN,11249,40.699413,-73.95902,"(40.699413, -73.95902)",FRANKLIN AVENUE                 ,WALLABOUT STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,Unspecified,,,3451075,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/18/2016,13:20,BRONX,10475,40.884647,-73.82662,"(40.884647, -73.82662)",CONNER STREET                   ,HOLLERS AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3449258,Tow Truck / Wrecker,4 dr sedan,,,
05/18/2016,21:40,QUEENS,11411,40.697525,-73.746826,"(40.697525, -73.746826)",FRANCIS LEWIS BOULEVARD         ,116 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3452268,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
